ind_ssp,ind_EEI,ind_technoelec,ind_technoCCS,ind_technoenduses,ind_ffuels,IEeur1,IEeur2,IEeur3,IEeur4,IEeur5,IEeur6,IEeur7,IEeur8,IEeur9,IEeur10,IEeur11,IEeur12,IEeur13,IEeur14,IEeur15,IEeur16,IEeur17,IEeur18,IEeur19,IEeur20,IEeur21,IEeur22,IEeur23,IEeur24,IEeur25,IEeur26,IEeur27,IEeur28,IEeur29,IEeur30,IEeur31,IEeur32,IEeur33,IEeur34,IEeur35,IEeur36,IEeur37,IEeur38,IEeur39,IEeur40,IEeur41,IEeur42,IEeur43,IEeur44,IEeur45,IEeur46,IEeur47,IEeur48,IEeur49,IEeur50,IEeur51,IEeur52,IEeur53,IEeur54,IEeur55,IEeur56,IEeur57,IEeur58,IEeur59,IEeur60,IEeur61,IEeur62,IEeur63,IEeur64,IEeur65,IEeur66,IEeur67,IEeur68,IEeur69,IEeur70,IEeur71,IEeur72,IEeur73,IEeur74,IEeur75
1,0,0,0,0,0,1,0.9791845,0.9727017,0.9654781,0.9592880,0.9543268,0.9490539,0.9471919,0.9467936,0.9470797,0.9579465,0.9525157,0.9510534,0.9233595,0.9013705,0.8820978,0.8630606,0.8449495,0.8275449,0.8100812,0.7926019,0.7747871,0.7574684,0.7396933,0.7225437,0.7056442,0.6888233,0.6714610,0.6551081,0.6381815,0.6215962,0.6083041,0.5951788,0.5812381,0.5665756,0.5516251,0.5365731,0.5216625,0.5071637,0.4936298,0.4809567,0.4699501,0.4602831,0.4519924,0.4442689,0.4368277,0.4295948,0.4224981,0.4155557,0.4087526,0.4019344,0.3951705,0.3883643,0.3811150,0.3754533,0.3694244,0.3632950,0.3577747,0.3534638,0.3502113,0.3471862,0.3435681,0.3387881,0.3344356,0.3299712,0.3250497,0.3196032,0.3140778,0.3092725,0.3046588,0.2999796,0.2949939,0.2900881,0.2848488,0.2799102
1,0,0,0,1,0,1.0002443,0.9792662,0.9723841,0.9645747,0.9575986,0.9516972,0.9454067,0.9424615,0.9408872,0.9399036,0.9483498,0.9404225,0.9354187,0.9052952,0.8822172,0.8604359,0.8389341,0.8181416,0.7976590,0.7772240,0.7570377,0.7366096,0.7175843,0.6983744,0.6793222,0.6607878,0.6420888,0.6225455,0.6037255,0.5848407,0.5660334,0.551737,0.5379772,0.5243857,0.5102461,0.4954977,0.4805290,0.4658140,0.4519453,0.4394920,0.4283703,0.4189439,0.4108398,0.4039660,0.3978211,0.3921213,0.3866304,0.3815164,0.3768548,0.3725427,0.3684546,0.3641331,0.3611163,0.3577194,0.3546651,0.3518827,0.3491332,0.3464406,0.3434579,0.3403704,0.3369275,0.3333250,0.3298702,0.3266500,0.3234492,0.3201178,0.3165262,0.3129301,0.3093373,0.3056113,0.3019238,0.2977622,0.2933961,0.2881446,0.2824860
1,0,0,0,1,1,1.0019996,0.9800139,0.9725717,0.9648613,0.9580384,0.9522556,0.9462391,0.9451062,0.9444677,0.9439761,0.9503400,0.9446217,0.9268683,0.9025385,0.8801660,0.8601270,0.8362817,0.8175780,0.7967685,0.7761395,0.7556762,0.7352440,0.7136529,0.6932100,0.6768605,0.6582016,0.6398014,0.6215185,0.6039221,0.5855856,0.5671796,0.5538683,0.5411747,0.5280494,0.5136289,0.4990414,0.4851032,0.4718959,0.4595808,0.4483943,0.4383682,0.4298531,0.4225926,0.4161473,0.4103436,0.4052757,0.4007673,0.3968283,0.3933463,0.3900772,0.3871113,0.3841701,0.3821261,0.3805058,0.3786760,0.3767257,0.3748516,0.3718802,0.3681979,0.3640873,0.3597359,0.3553491,0.350749,0.3454011,0.3401509,0.3357116,0.3310799,0.3262244,0.3212588,0.3169427,0.3119139,0.3070050,0.3011213,0.2953665,0.2898170
1,0,0,1,0,0,1,0.9791845,0.9727017,0.9654781,0.9592880,0.9543268,0.9490539,0.9471919,0.9467936,0.9470797,0.9579465,0.9552859,0.9415479,0.9217096,0.8998219,0.8817470,0.8633495,0.8460922,0.8291555,0.8121504,0.7949783,0.7776103,0.7606684,0.7435349,0.7275952,0.7118595,0.6960865,0.6805908,0.6650127,0.6498226,0.6349991,0.6238918,0.6131669,0.6023084,0.5911037,0.5794258,0.5676385,0.5558858,0.5443470,0.5333070,0.5228372,0.5133936,0.5051096,0.4975098,0.4901736,0.4824816,0.4744857,0.4662581,0.4580008,0.449961,0.4424205,0.4351622,0.4281421,0.4213282,0.4147339,0.4085022,0.4026167,0.3970403,0.3915080,0.3856975,0.3801259,0.3743097,0.3684254,0.3628257,0.3572631,0.3514388,0.3453828,0.3391177,0.3327074,0.3264642,0.3202495,0.3143017,0.3086629,0.3032526,0.2980297
1,0,0,1,0,1,1.0017691,0.9799396,0.9728896,0.9657748,0.9597941,0.9549191,0.9499000,0.9498576,0.9504473,0.9514181,0.9607646,0.9551446,0.9476021,0.9235713,0.9032373,0.8848337,0.8629035,0.8424807,0.8249140,0.8072639,0.7927987,0.7754668,0.7583158,0.7416602,0.725271,0.7076042,0.6911470,0.6770141,0.6624793,0.6489934,0.6366962,0.6288377,0.6200705,0.6103499,0.5994886,0.5879833,0.5757344,0.5637181,0.5522017,0.5417463,0.5318137,0.5228270,0.5143959,0.5065443,0.4986327,0.4903221,0.4815603,0.4720645,0.4620972,0.4520959,0.4426731,0.4337975,0.4255558,0.4174417,0.4094856,0.4020499,0.3950918,0.3885475,0.3820343,0.3754219,0.3687877,0.3621024,0.3553791,0.3486775,0.3421299,0.3355786,0.3286432,0.3218344,0.314352,0.3066550,0.2989681,0.2920689,0.2856933,0.279614,0.2740091
1,0,0,1,1,1,1.0019996,0.9800139,0.9725717,0.9648613,0.9580384,0.9522556,0.9462391,0.9451062,0.9444677,0.9439761,0.9503400,0.9426530,0.9321165,0.9050652,0.8819238,0.8614420,0.8377286,0.8193477,0.8003513,0.7799662,0.7593568,0.7390877,0.7175776,0.6988953,0.6822928,0.6650999,0.6482094,0.6313678,0.6156466,0.5992876,0.5843599,0.5748625,0.5648836,0.5544723,0.5427557,0.5309720,0.5191331,0.5079450,0.4987363,0.4911370,0.4848534,0.4797652,0.4755197,0.4717055,0.4675997,0.4633957,0.4590208,0.4540954,0.4485347,0.4424944,0.4362353,0.4293268,0.4224025,0.4153482,0.4076284,0.3991200,0.3902822,0.3813435,0.3716246,0.3582626,0.3460368,0.3344368,0.3235386,0.3136192,0.3051922,0.2975306,0.2909357,0.2883768,0.2854387,0.2827589,0.2794221,0.2764096,0.2732247,0.2701826,0.2633545
1,0,1,0,0,0,1.0013843,0.9804314,0.9741018,0.9669820,0.9607758,0.9555965,0.9499499,0.9478785,0.9471933,0.9475555,0.9562453,0.9517577,0.9510293,0.9246656,0.9047645,0.8856429,0.8667291,0.8491725,0.8329345,0.8165282,0.7987914,0.7805535,0.7630242,0.7447890,0.7277179,0.7106962,0.6936041,0.6760361,0.6577822,0.6394356,0.6213026,0.6066012,0.5922458,0.5783803,0.5646680,0.5507824,0.5371487,0.5237235,0.5107343,0.4989539,0.4884824,0.4786851,0.4700302,0.4625892,0.4553604,0.4481328,0.4407954,0.4333867,0.4260911,0.4190332,0.4125553,0.406451,0.4002401,0.3938342,0.3873446,0.3809996,0.374914,0.3702719,0.3649487,0.3594460,0.3543468,0.3494333,0.3452289,0.3412023,0.3368530,0.3320047,0.3270036,0.3217802,0.3165416,0.3112857,0.3061092,0.3010127,0.2958051,0.2905131,0.2852365
1,0,1,0,0,1,1.0031524,0.9811838,0.9742760,0.9672823,0.9612233,0.9562411,0.9508535,0.9505753,0.9508109,0.9517853,0.9591106,0.9546134,0.9527166,0.9276419,0.9070761,0.8887131,0.8666798,0.8465673,0.8289567,0.8132201,0.7961708,0.7785037,0.7608725,0.7432035,0.7237514,0.7051916,0.6885152,0.6712809,0.6542517,0.6375727,0.6217354,0.6085873,0.5952185,0.5820506,0.5683957,0.5549729,0.5421126,0.5298689,0.5182017,0.5075990,0.4979880,0.4887739,0.4804807,0.4730549,0.4655811,0.4578870,0.4500033,0.4419551,0.4339554,0.4261678,0.4193655,0.4132864,0.4080443,0.4033482,0.3989366,0.3945534,0.3900583,0.3860742,0.3820310,0.3778409,0.3735385,0.3690461,0.3642848,0.3592684,0.3542144,0.3490810,0.3438025,0.3386364,0.3335008,0.3285335,0.3230047,0.3175314,0.3117813,0.3062210,0.3008403
1,0,1,0,1,0,1.0016344,0.9805117,0.9737876,0.9660773,0.9590514,0.9529687,0.9463289,0.9431967,0.9413451,0.9404047,0.9466569,0.9396342,0.9352365,0.9065023,0.8838873,0.8630630,0.8428384,0.8230748,0.8079109,0.7860772,0.7649941,0.7436523,0.7238139,0.7043118,0.6848681,0.6656314,0.6472838,0.6281479,0.6078157,0.5877920,0.5682383,0.5524356,0.5375562,0.5240234,0.5107194,0.4971650,0.4840435,0.4716368,0.4602540,0.4505131,0.4423714,0.4347626,0.4282916,0.4229547,0.4180853,0.4134623,0.4088733,0.4040063,0.3989241,0.3935695,0.3883755,0.3833425,0.3800573,0.3762661,0.3723373,0.3684212,0.3642291,0.3598243,0.3548280,0.3498077,0.3449754,0.3400413,0.3348680,0.3297568,0.3247834,0.3201257,0.3159139,0.3120419,0.3082821,0.3045492,0.3008403,0.2972140,0.2936758,0.2906715,0.2871552
1,0,1,0,1,1,1.0033907,0.9812586,0.9739633,0.9663574,0.9594892,0.9535249,0.9471602,0.9458243,0.9448599,0.9443869,0.9486635,0.9420498,0.9371622,0.9088977,0.8856359,0.8651921,0.8415069,0.8232986,0.8032223,0.7833537,0.7630075,0.7424737,0.7217461,0.7010761,0.6833209,0.6647642,0.6457308,0.6271132,0.6087965,0.5898780,0.5715454,0.5569142,0.5428033,0.5295400,0.5162548,0.5024066,0.4897614,0.4784358,0.4683319,0.4599579,0.4529927,0.4465996,0.4414182,0.4371502,0.4331805,0.4294293,0.4257286,0.4216230,0.4172250,0.4122999,0.4072695,0.4023879,0.3975055,0.3931410,0.3899543,0.3867228,0.3831045,0.3790618,0.3742318,0.3685539,0.3625336,0.3561435,0.3494814,0.3433289,0.3372600,0.3311684,0.3251373,0.3195149,0.3141885,0.3089698,0.3040769,0.2993046,0.2941084,0.2923504,0.2903074
1,0,1,1,0,0,1.0013843,0.9804314,0.9741018,0.9669820,0.9607758,0.9555965,0.9499499,0.9478785,0.9471933,0.9475555,0.9562453,0.9517321,0.9508876,0.9246188,0.9048412,0.8859615,0.8674159,0.8558757,0.8378468,0.8247616,0.8048426,0.7859833,0.7673987,0.7493444,0.7312314,0.7134382,0.6961039,0.6793833,0.6626215,0.6464709,0.6308988,0.6206875,0.6103362,0.6003194,0.5894982,0.5781447,0.5666636,0.5549932,0.5432254,0.5317234,0.5203903,0.5091683,0.4989598,0.4899284,0.4810772,0.4721267,0.4631213,0.4540361,0.4451311,0.4366607,0.4290908,0.4221045,0.4155382,0.4093384,0.4035063,0.3979419,0.3921915,0.3863660,0.3805111,0.3746450,0.3689497,0.3635699,0.3578667,0.3521358,0.3465638,0.3409330,0.3352278,0.3290990,0.3232608,0.3177252,0.3123169,0.3071691,0.3021878,0.2973254,0.2925353
1,0,1,1,0,1,1.0031524,0.9811838,0.9742760,0.9672823,0.9612233,0.9562411,0.9508535,0.9505753,0.9508109,0.9517853,0.9591106,0.9545214,0.9532751,0.9279233,0.9073626,0.8892763,0.8673982,0.8476939,0.8340525,0.8168726,0.7996463,0.7820466,0.7646299,0.7449406,0.7259719,0.7098635,0.6935962,0.6774307,0.6628072,0.6492926,0.6371896,0.6270018,0.6170687,0.6068936,0.5961909,0.5844910,0.5732151,0.5616006,0.5495314,0.5374506,0.5254279,0.5132572,0.5016332,0.4907879,0.4798082,0.4686673,0.4574466,0.4459466,0.4344430,0.4235473,0.4138231,0.4052416,0.3978233,0.3912340,0.3851210,0.3791414,0.3730461,0.3669079,0.3607591,0.3546363,0.3485704,0.3425427,0.3365843,0.3305775,0.3245733,0.3183862,0.3121207,0.3050477,0.2982176,0.2907717,0.2830426,0.2754558,0.2680823,0.2625984,0.2590106
1,0,1,1,1,0,1.0016344,0.9805117,0.9737876,0.9660773,0.9590514,0.9529687,0.9463289,0.9431967,0.9413451,0.9404047,0.9466569,0.9396053,0.9350936,0.9064749,0.8841826,0.8635452,0.8435944,0.8295682,0.8074505,0.7915282,0.7693579,0.7479683,0.7282675,0.7081568,0.6893451,0.6706789,0.6521847,0.6338989,0.6158720,0.5977424,0.5801445,0.5669253,0.5549049,0.5442717,0.5336899,0.5227312,0.5119595,0.5015786,0.4921616,0.4835161,0.4759701,0.4683295,0.4612532,0.4545299,0.4476669,0.4404849,0.4327562,0.4240283,0.4143591,0.4035855,0.392624,0.3815270,0.3705455,0.3598333,0.3492985,0.3403392,0.3323897,0.3250466,0.3181662,0.3116920,0.3055818,0.2995651,0.2936396,0.2878782,0.2824188,0.2773408,0.2726120,0.2681495,0.2637697,0.2597476,0.2554777,0.2515793,0.2473277,0.2425455,0.2373521
1,0,1,1,1,1,1.0033907,0.9812586,0.9739633,0.9663574,0.9594892,0.9535249,0.9471602,0.9458243,0.9448599,0.9443869,0.9486635,0.9419637,0.9370076,0.9088925,0.8859061,0.8660215,0.8424036,0.8245250,0.8059116,0.7868519,0.7663494,0.7460661,0.7255640,0.7049475,0.6870565,0.6692075,0.6513094,0.6343648,0.6173728,0.6008363,0.5850856,0.5743025,0.5634656,0.5529928,0.5420703,0.5309942,0.5201871,0.5105801,0.5015807,0.4932634,0.4856284,0.4776411,0.4698896,0.4621276,0.4540067,0.4456023,0.4367378,0.4275913,0.4179991,0.4090534,0.4006007,0.3923370,0.3846171,0.3774751,0.3706317,0.3635766,0.3558988,0.3477607,0.3392906,0.3304104,0.3212516,0.3116805,0.3019710,0.2908233,0.2814392,0.2721600,0.2646179,0.2583313,0.2533591,0.2507738,0.2497817,0.2478148,0.2457176,0.2419318,0.2371294
1,1,0,0,0,0,1,0.9791845,0.9713312,0.9626659,0.9549314,0.9482726,0.9411523,0.9372620,0.9345826,0.9325924,0.9397652,0.9323153,0.9282128,0.8982918,0.8755407,0.8536680,0.8320248,0.8110919,0.7911643,0.7708327,0.7504868,0.7297138,0.7094143,0.6886756,0.6687356,0.6502683,0.6318017,0.6128028,0.5938349,0.5748010,0.5554349,0.5396149,0.5241777,0.5086227,0.4925930,0.4761342,0.4594905,0.4428390,0.4272247,0.4140010,0.4014082,0.3895690,0.3779074,0.3677721,0.3565098,0.3465189,0.3367623,0.3274827,0.3186584,0.3097338,0.3011694,0.2937237,0.2866715,0.2807968,0.2760484,0.2706498,0.2654994,0.2594927,0.2544297,0.2494116,0.2445510,0.2391394,0.2336334,0.2285745,0.2236923,0.2180889,0.2126762,0.2074687,0.2024057,0.1975186,0.1929121,0.1883637,0.1837206,0.1790714,0.1740584
1,1,0,0,1,0,1.0002443,0.9792662,0.9710058,0.9617361,0.9531844,0.9455435,0.9373565,0.9323155,0.9283748,0.9250882,0.9297006,0.9197315,0.9118791,0.8795302,0.8541181,0.8305878,0.8072131,0.7898031,0.7645708,0.7404311,0.7167711,0.6933757,0.6712233,0.6490576,0.6278290,0.6069135,0.5871725,0.5669447,0.5461816,0.5256541,0.5057531,0.4899783,0.4748088,0.4602984,0.4451739,0.4291644,0.4128960,0.3983503,0.3850701,0.3722672,0.3599859,0.3485705,0.3373825,0.3280894,0.3173234,0.3095913,0.3004880,0.2929839,0.2856850,0.2788696,0.2723961,0.2665899,0.2614282,0.2565684,0.2520115,0.2478314,0.2442605,0.2408001,0.2368312,0.2331316,0.2291181,0.2249248,0.2211620,0.2170849,0.2131216,0.2091772,0.2055076,0.2014846,0.1969182,0.1921811,0.1872319,0.1827505,0.1793015,0.1765325,0.1739267
1,1,0,0,1,1,1.0019996,0.9800139,0.9712032,0.9620388,0.9536548,0.9461594,0.9382689,0.9350578,0.9320610,0.9295449,0.9325114,0.9227388,0.9097698,0.8754854,0.8460518,0.8240300,0.8110034,0.7909628,0.7692645,0.7467415,0.7222548,0.6948991,0.6707280,0.6480040,0.6277564,0.6079542,0.5873575,0.5681887,0.5490742,0.5303649,0.5128304,0.4989144,0.4847427,0.4710281,0.4564363,0.4406191,0.4244171,0.4091990,0.3970173,0.3853898,0.3742873,0.3637708,0.3543165,0.3450735,0.3363589,0.3288132,0.3214499,0.3142528,0.3072176,0.3004529,0.2937880,0.2875861,0.2822938,0.2771870,0.2723868,0.2679243,0.2635636,0.2589992,0.2542672,0.2496435,0.2449393,0.2398793,0.2346567,0.2294759,0.2247506,0.2203745,0.216326,0.2124811,0.2086664,0.2046065,0.2002393,0.1957189,0.1909110,0.1866580,0.1838301
1,1,0,1,0,0,1,0.9791845,0.9713312,0.9626659,0.9549314,0.9482726,0.9411523,0.9372620,0.9345826,0.9325924,0.9397652,0.9323245,0.9280788,0.8983875,0.8756795,0.8540387,0.8328659,0.8132969,0.7941778,0.7737584,0.7533175,0.7327613,0.7131741,0.6928326,0.6739381,0.6553242,0.6369166,0.6186276,0.6009793,0.5835548,0.5704271,0.5600425,0.5475792,0.5338275,0.5195238,0.5045297,0.4894589,0.4742559,0.4594682,0.4462790,0.4343332,0.4237358,0.4139746,0.4047184,0.3951672,0.3862648,0.3763441,0.3668294,0.3577327,0.3489088,0.3409970,0.3333884,0.3263817,0.3192950,0.3121852,0.3051166,0.2980835,0.2910562,0.2838318,0.2765818,0.2694124,0.2623112,0.2553345,0.2484410,0.2417299,0.2346951,0.2284779,0.2216043,0.2158165,0.2097491,0.2040372,0.1980472,0.1923479,0.1867712,0.1817410
1,1,0,1,1,0,1.0002443,0.9792662,0.9710058,0.9617361,0.9531844,0.9455435,0.9373565,0.9323155,0.9283748,0.9250882,0.9297006,0.9197426,0.9092635,0.8739133,0.8452684,0.8212362,0.8027254,0.7931324,0.7675349,0.7516543,0.7243223,0.6992674,0.6750340,0.6525039,0.6308580,0.6104400,0.5902914,0.5707692,0.5558803,0.5410584,0.5244122,0.5110694,0.4976080,0.4853715,0.4722090,0.4577556,0.4440252,0.4289567,0.4154575,0.4034189,0.3925359,0.3815152,0.3709444,0.3607472,0.3509464,0.3414490,0.3321301,0.3229253,0.3141835,0.3056639,0.297926,0.2903150,0.2830155,0.2757470,0.2686246,0.2620850,0.2558857,0.2498676,0.2438113,0.2376919,0.2318332,0.2263109,0.2210530,0.2159492,0.2109535,0.2060882,0.2012755,0.196524,0.1917715,0.1870172,0.1822346,0.1775692,0.1733962,0.1694893,0.1657263
1,1,0,1,1,1,1.0019996,0.9800139,0.9712032,0.9620388,0.9536548,0.9461594,0.9382689,0.9350578,0.9320610,0.9295449,0.9325114,0.9227553,0.9139620,0.8827591,0.8573460,0.8366719,0.8102091,0.7891758,0.7673051,0.7450691,0.7227509,0.6991210,0.6746059,0.6554333,0.6354247,0.6157469,0.5967950,0.5780137,0.5602170,0.5439820,0.5309995,0.5200227,0.5086230,0.4961748,0.4827654,0.4682316,0.4554760,0.4433511,0.4311338,0.4204658,0.4101581,0.4011875,0.3917348,0.3831986,0.3754132,0.3678821,0.3600264,0.3519378,0.3454467,0.3377343,0.3298711,0.3220963,0.3148953,0.3079763,0.3007591,0.2936212,0.2865056,0.2793679,0.2718315,0.2643345,0.2571081,0.2496000,0.2421446,0.2349397,0.2283282,0.2219657,0.2156948,0.2096863,0.2036983,0.1974730,0.1895205,0.1827000,0.1768956,0.1738224,0.1713148
